Image Number,Cluster Number,Phi,Theta
1,1,55.08154506437768,106.33333333333334
1,2,-14.622930717351323,113.05555555555556
2,1,128.36909871244637,106.54320987654322
2,2,-71.9508388607101,113.18181818181817
3,1,32.52360515021458,103.16666666666667
3,2,153.9383993940924,104.50980392156863
4,1,-34.92949110974862,108.6243386243386
4,2,182.18884120171674,113.51851851851852
5,1,66.87085446742103,88.98989898989899
5,2,123.90557939914166,103.70370370370371
