Image Number,Cluster Number,Midpoint_X,Midpoint_Y
1,1,187.8,191.4
1,2,97.57142857142857,203.5
2,1,282.6666666666667,191.77777777777777
2,2,23.363636363636363,203.72727272727272
3,1,158.6,185.7
3,2,315.7647058823529,188.11764705882354
4,1,71.28571428571429,195.52380952380952
4,2,352.3333333333333,204.33333333333334
5,1,203.06060606060606,160.1818181818182
5,2,276.8888888888889,186.66666666666666
