Image Number,Cluster Number,x,y,z
1,1,-0.6139387593965806,0.7375579089184903,-0.2812250534756308
1,2,-0.8674649587212666,-0.30681523169893854,-0.39162349136413904
2,1,-0.948097616671459,-0.141544955245472,-0.2847383621966958
2,2,0.8054679884128584,0.44301334673257803,-0.39365021816194135
3,1,-0.6755503902437208,-0.7012459806647653,-0.22778442625225348
3,2,-0.24491911710722214,0.9366117113938116,-0.2505456608192891
4,1,-0.5125058672606093,0.7970857696659125,-0.31936188222696593
4,2,-0.07000054815315174,-0.9142552443791355,-0.39904545027290483
5,1,-0.9846619628624376,0.17358009304824698,0.01762867519848066
5,2,-0.3791037651676392,0.894515665564694,-0.23690094827811897
