X,Y,R,G,B
809,419,164,0,1
810,419,164,0,1
811,419,163,0,1
812,419,164,0,3
813,419,163,0,3
814,419,164,0,3
815,419,163,0,1
816,419,161,0,0
817,419,163,0,0
809,420,163,0,1
810,420,163,0,1
811,420,162,0,1
812,420,163,0,3
813,420,162,0,3
814,420,163,0,3
815,420,162,0,1
816,420,162,0,0
815,421,164,0,3
816,421,158,0,0
817,421,162,0,0
808,422,164,0,0
809,422,164,0,0
810,422,163,0,0
811,422,163,0,0
812,422,163,0,0
813,422,164,0,0
814,422,162,0,0
815,422,161,0,0
816,422,159,1,0
817,422,162,3,0
809,423,164,0,0
810,423,164,0,0
811,423,163,1,0
812,423,164,0,0
813,423,163,1,0
814,423,163,1,0
815,423,161,2,0
816,423,158,0,0
817,423,160,1,0
801,424,161,4,0
802,424,162,3,0
803,424,161,4,0
804,424,162,3,0
805,424,161,4,0
806,424,161,4,0
807,424,161,4,0
808,424,160,3,0
809,424,160,3,0
810,424,159,1,0
811,424,157,2,0
812,424,158,0,0
813,424,156,1,0
814,424,156,1,0
815,424,158,0,0
816,424,158,0,0
817,424,163,1,0
800,425,164,5,2
801,425,161,6,2
802,425,161,6,2
803,425,161,6,2
804,425,161,6,2
805,425,161,6,2
806,425,161,6,2
807,425,161,6,2
808,425,159,4,0
809,425,159,4,2
810,425,157,3,1
811,425,157,3,1
812,425,156,2,0
813,425,156,2,0
814,425,156,2,0
815,425,157,2,0
816,425,159,1,0
817,425,164,2,0
800,426,160,0,2
801,426,157,1,4
802,426,157,1,4
803,426,157,1,4
804,426,157,1,4
805,426,157,1,4
806,426,157,1,4
807,426,157,1,4
808,426,157,1,4
809,426,157,1,5
810,426,156,0,4
811,426,156,0,4
812,426,155,0,3
813,426,155,0,3
814,426,156,0,4
815,426,156,0,3
816,426,155,0,0
817,426,160,0,0
793,427,161,0,0
794,427,158,0,0
795,427,157,0,0
796,427,158,0,0
797,427,158,0,2
798,427,160,0,2
799,427,158,0,2
800,427,150,0,0
801,427,149,0,0
802,427,149,0,1
803,427,149,0,0
804,427,149,0,1
805,427,149,0,0
806,427,149,0,1
807,427,149,0,1
808,427,150,0,2
809,427,150,0,2
810,427,149,0,3
811,427,149,0,1
812,427,149,0,3
813,427,149,0,1
814,427,149,0,3
815,427,149,0,1
816,427,147,0,0
817,427,150,0,0
818,427,157,0,0
819,427,162,0,1
820,427,163,0,1
821,427,162,0,0
822,427,160,0,0
823,427,158,0,0
824,427,160,0,0
825,427,163,0,0
792,428,159,0,0
793,428,154,0,0
794,428,152,0,1
795,428,150,0,1
796,428,150,0,1
797,428,152,0,2
798,428,153,0,2
799,428,152,0,4
800,428,143,0,0
801,428,142,0,0
