Image Number,x,y,z
1,0.024025856595865428,0.9925130132983848,-0.11975256426563512
2,-0.9689553549711587,0.21003209188289668,-0.1304302129570065
3,-0.09121471537070121,-0.9896547305459165,-0.11074019147505362
4,0.9892986175121579,-0.029359831237045744,-0.14292041735968117
