X,Y,R,G,B
56,418,164,0,0
57,418,162,0,0
60,418,164,0,0
70,418,164,1,0
45,419,163,0,0
46,419,160,0,0
47,419,161,0,0
48,419,161,0,0
49,419,161,0,0
50,419,162,0,0
51,419,161,0,0
52,419,161,0,0
53,419,158,0,0
54,419,158,0,0
55,419,157,0,0
56,419,157,0,0
57,419,157,0,0
58,419,158,0,0
59,419,158,0,0
60,419,157,0,0
61,419,158,0,0
62,419,160,0,0
63,419,159,0,0
64,419,158,1,0
65,419,158,1,0
66,419,159,0,0
67,419,159,0,0
68,419,161,0,0
69,419,159,0,0
70,419,156,2,0
71,419,162,0,0
45,420,160,0,0
46,420,157,1,2
47,420,158,2,3
48,420,157,1,2
49,420,157,2,0
50,420,157,1,2
51,420,157,2,0
52,420,157,1,2
53,420,156,2,0
54,420,155,1,1
55,420,154,2,0
56,420,155,1,1
57,420,154,2,0
58,420,155,1,1
59,420,155,1,0
60,420,155,1,1
61,420,155,1,0
62,420,157,1,2
63,420,158,3,1
64,420,161,2,0
65,420,163,1,0
66,420,164,0,1
67,420,164,0,1
68,420,165,0,1
69,420,164,0,1
70,420,163,1,0
44,421,164,0,1
45,421,158,0,0
46,421,154,0,1
47,421,154,0,2
48,421,154,0,0
49,421,154,0,0
50,421,154,0,0
51,421,153,1,0
52,421,154,0,0
53,421,153,1,0
54,421,152,0,0
55,421,150,0,0
56,421,151,0,0
57,421,152,0,0
58,421,152,0,0
59,421,152,0,0
60,421,152,0,0
61,421,153,0,0
62,421,154,0,0
63,421,156,0,1
64,421,161,0,0
65,421,162,0,0
66,421,163,0,1
67,421,163,0,1
68,421,165,0,1
69,421,163,0,0
70,421,162,0,0
45,422,162,0,0
46,422,159,0,4
47,422,158,2,5
48,422,157,1,2
49,422,157,1,2
50,422,157,1,2
51,422,156,2,2
52,422,157,1,2
53,422,156,2,2
54,422,155,1,1
55,422,154,2,1
56,422,155,1,1
57,422,155,1,1
58,422,155,1,1
59,422,155,1,1
60,422,155,1,1
61,422,156,0,1
62,422,157,1,2
63,422,160,2,3
64,422,163,0,1
65,422,164,0,1
69,422,165,0,1
70,422,164,0,1
45,423,162,0,0
46,423,158,0,0
47,423,158,0,3
48,423,157,0,0
49,423,157,0,0
50,423,156,0,1
51,423,156,0,1
52,423,155,0,0
53,423,155,0,0
54,423,154,0,0
55,423,154,0,0
56,423,153,0,0
57,423,153,0,0
58,423,155,0,0
59,423,155,0,0
60,423,154,0,0
61,423,155,0,0
62,423,157,0,0
63,423,158,0,1
64,423,162,0,0
65,423,162,0,0
66,423,163,0,2
67,423,163,0,2
68,423,164,0,2
69,423,163,0,0
70,423,162,0,0
45,424,162,0,0
46,424,158,0,0
47,424,158,0,1
48,424,159,1,2
49,424,159,1,2
50,424,157,1,2
51,424,156,0,1
52,424,156,0,1
53,424,156,0,1
54,424,155,1,1
55,424,154,0,0
56,424,154,0,0
57,424,153,0,0
58,424,155,0,0
59,424,156,0,1
60,424,157,0,0
61,424,156,0,0
62,424,157,0,0
63,424,159,1,2
64,424,159,1,0
65,424,159,1,0
66,424,160,0,0
67,424,160,0,0
68,424,162,0,0
69,424,160,0,0
70,424,157,2,0
71,424,163,0,0
45,425,160,0,0
46,425,158,0,1
47,425,156,2,2
48,425,157,1,2
49,425,156,2,2
50,425,156,2,2
51,425,155,3,2
52,425,155,1,1
53,425,154,2,1
54,425,154,2,1
55,425,154,2,1
56,425,153,1,0
57,425,153,1,0
58,425,154,2,1
59,425,155,1,1
60,425,154,0,0
61,425,154,0,0
62,425,156,0,1
63,425,158,3,1
64,425,157,2,0
65,425,159,1,0
66,425,159,1,0
67,425,160,0,0
68,425,160,0,0
69,425,159,1,0
70,425,157,2,0
71,425,162,0,0
37,426,164,0,0
39,426,164,0,0
44,426,160,2,0
45,426,154,0,0
46,426,152,0,0
47,426,150,2,2
48,426,151,1,0
49,426,150,2,0
50,426,150,2,0
51,426,148,3,0
52,426,150,2,0
53,426,147,2,0
54,426,147,2,0
55,426,147,2,0
56,426,147,2,0
57,426,147,2,0
58,426,147,2,0
59,426,150,2,0
60,426,149,1,0
61,426,149,0,0
62,426,151,1,0
63,426,155,3,0
64,426,157,2,0
65,426,160,1,0
66,426,160,0,0
67,426,162,0,0
68,426,162,0,0
69,426,160,0,0
70,426,159,1,0
71,426,163,0,0
36,427,161,0,0
37,427,158,0,0
38,427,159,1,0
39,427,157,0,0
40,427,160,1,0
41,427,159,0,0
42,427,159,1,0
43,427,157,2,0
44,427,154,0,0
45,427,148,0,0
46,427,144,0,0
47,427,144,0,0
48,427,144,0,0
49,427,144,1,0
50,427,142,0,0
51,427,142,0,0
52,427,142,0,0
53,427,142,0,0
54,427,142,0,0
55,427,142,0,0
56,427,142,0,0
57,427,142,0,0
58,427,142,0,0
59,427,143,1,0
60,427,143,0,0
61,427,142,0,0
62,427,145,0,0
63,427,151,1,0
64,427,155,0,0
65,427,157,0,0
66,427,158,0,0
67,427,158,0,0
68,427,160,0,0
69,427,158,0,0
70,427,155,0,0
71,427,161,0,0
36,428,157,0,0
37,428,154,0,0
38,428,154,0,0
39,428,153,0,0
40,428,155,0,0
41,428,154,0,0
42,428,154,0,0
43,428,153,1,0
44,428,150,0,0
45,428,143,0,0
46,428,140,0,0
47,428,139,0,0
48,428,139,0,0
49,428,139,0,0
50,428,138,0,0
51,428,138,0,0
52,428,137,0,0
53,428,137,0,0
54,428,137,0,0
55,428,137,0,0
56,428,138,0,0
57,428,137,0,0
58,428,138,0,0
59,428,139,0,0
60,428,140,0,0
61,428,139,0,0
62,428,143,0,0
63,428,147,1,1
64,428,152,0,0
65,428,153,0,0
66,428,153,0,0
67,428,153,0,0
68,428,154,0,0
69,428,153,0,0
70,428,150,1,0
71,428,156,0,0
36,429,157,0,0
37,429,153,0,0
38,429,155,1,3
39,429,152,0,0
40,429,154,0,0
41,429,154,0,0
42,429,154,0,0
43,429,152,2,1
44,429,149,1,1
45,429,143,0,0
46,429,138,0,0
47,429,138,0,0
48,429,138,0,0
49,429,138,0,0
50,429,138,0,0
51,429,138,0,0
52,429,138,0,0
53,429,136,1,0
54,429,136,0,0
55,429,136,1,0
56,429,136,0,0
57,429,137,0,0
58,429,137,0,0
59,429,139,0,0
60,429,138,0,0
61,429,140,0,0
62,429,142,0,1
63,429,146,2,2
64,429,151,1,0
65,429,153,1,0
66,429,153,1,0
67,429,154,0,0
68,429,154,0,0
69,429,153,1,0
70,429,150,2,0
71,429,155,0,0
36,430,157,0,2
37,430,153,0,1
38,430,155,0,4
39,430,154,0,2
40,430,156,0,3
41,430,154,0,0
42,430,154,0,2
43,430,154,1,3
44,430,150,0,2
45,430,144,0,1
46,430,141,0,2
47,430,139,0,2
48,430,139,0,2
49,430,139,0,0
50,430,139,0,2
51,430,139,0,0
52,430,139,0,2
53,430,138,0,0
54,430,138,0,2
55,430,138,0,0
56,430,139,0,3
57,430,139,0,0
58,430,139,0,2
59,430,141,0,0
60,430,140,0,1
61,430,141,0,0
62,430,144,0,4
63,430,148,2,5
64,430,153,0,2
65,430,154,0,0
66,430,154,0,2
67,430,155,0,2
68,430,155,0,2
69,430,154,0,2
70,430,151,1,0
71,430,157,0,0
36,431,157,0,2
37,431,154,0,2
38,431,155,0,4
39,431,153,0,1
40,431,155,1,3
41,431,154,0,2
42,431,154,0,2
43,431,154,1,3
44,431,149,0,2
45,431,143,0,0
46,431,140,0,1
47,431,139,0,2
48,431,138,0,2
49,431,138,0,2
50,431,138,0,2
51,431,139,0,2
52,431,139,0,2
53,431,138,0,2
54,431,138,0,2
55,431,138,0,2
56,431,138,0,2
57,431,137,0,1
58,431,138,0,1
59,431,139,0,2
60,431,140,0,1
61,431,140,0,1
62,431,143,0,4
