timestamp,x,y,z,ox,oy,oz,ow
1738006720.7847,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006720.8343468,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006720.883964,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006720.933815,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006720.9843073,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.0345883,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.0839705,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.1338353,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.1840456,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.2338023,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.283655,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.333729,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.3840878,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.4342136,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.4836447,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.5341775,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.5836506,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.6337645,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.6837058,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.7343812,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.784501,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.8339252,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.8839884,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.9340553,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006721.9838245,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006722.034038,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006722.0835912,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006722.1341023,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006722.1835673,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006722.233749,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1738006722.2837157,0.0,0.0,0.0,0.0,0.0,0.0,1.0
