X,Y,R,G,B
1221,410,164,0,0
1219,411,163,0,0
1220,411,160,1,0
1221,411,159,1,0
1222,411,160,2,1
1223,411,161,1,1
1224,411,163,0,1
1225,411,163,0,0
1218,412,163,0,0
1219,412,159,0,0
1220,412,158,0,0
1221,412,156,1,0
1222,412,155,1,0
1223,412,156,1,0
1224,412,159,1,0
1225,412,159,0,0
1226,412,162,0,0
1219,413,161,2,0
1220,413,160,2,1
1221,413,158,3,1
1222,413,158,3,1
1223,413,158,3,1
1224,413,161,3,2
1225,413,163,0,1
1226,413,164,0,1
1219,414,163,0,0
1220,414,162,0,0
1221,414,159,0,0
1222,414,160,0,0
1223,414,160,0,0
1224,414,162,0,0
1225,414,163,0,0
1219,415,164,0,0
1220,415,163,0,0
1221,415,163,0,0
1222,415,164,0,1
1223,415,164,0,1
1224,415,164,0,1
1225,415,164,0,0
1219,416,162,0,0
1220,416,161,0,0
1221,416,163,0,0
1222,416,163,0,2
1223,416,162,0,1
1224,416,163,0,3
1225,416,162,0,0
1218,417,163,1,0
1219,417,157,2,0
1220,417,159,1,0
1221,417,160,2,3
1222,417,161,1,3
1223,417,159,1,2
1224,417,157,3,5
1225,417,157,1,2
1226,417,161,1,3
1216,418,163,0,0
1217,418,157,0,0
1218,418,149,0,0
1219,418,142,0,0
1220,418,145,0,0
1221,418,145,0,0
1222,418,145,0,0
1223,418,144,0,0
1224,418,142,0,0
1225,418,142,0,0
1226,418,146,0,0
1227,418,152,0,0
1228,418,159,0,0
1229,418,158,0,0
1230,418,155,0,0
1231,418,153,0,0
1232,418,156,0,1
1233,418,152,0,0
1234,418,149,0,0
1235,418,158,0,0
1211,419,162,0,0
1212,419,161,0,0
1213,419,162,0,0
1214,419,161,0,0
1215,419,161,0,0
1216,419,159,0,0
1217,419,152,0,0
1218,419,143,0,0
1219,419,138,0,0
1220,419,138,0,0
1221,419,139,0,0
1222,419,141,0,0
1223,419,138,0,0
1224,419,136,0,0
1225,419,137,0,0
1226,419,140,0,0
1227,419,147,0,0
1228,419,152,0,0
1229,419,152,0,0
1230,419,148,0,0
1231,419,148,0,0
1232,419,149,0,1
1233,419,147,0,0
1234,419,144,2,0
1235,419,152,0,0
1211,420,162,0,0
1212,420,161,0,0
1213,420,160,1,0
1214,420,160,0,0
1215,420,160,1,0
1216,420,156,2,2
