X,Y,Z,Energy
1885,-364,991,10932
-482,-1695,712,215352
-2076,1315,135,164859
1315,1315,683,139054
554,-1315,961,176118
-934,-1315,929,137370
1885,-364,858,13430
-1885,1125,891,163265
1505,174,610,32579
-2076,1427,499,342001
1695,1125,700,239626
934,-934,725,227828
1315,1315,134,193570
934,-2076,893,188636
1315,1315,904,150508
-2076,554,423,215593
1885,-364,720,10909
1885,-364,987,13028
-1125,1505,741,101396
2075,1125,935,108538
1885,1885,135,42466
1885,-364,979,13960
1695,1885,214,178433
1505,2076,998,235996
1162,-1695,704,372922
-2076,1695,987,123225
1885,-364,976,10932
1885,-364,997,13494
1885,-364,996,11864
1885,-2076,940,375880
-554,1315,350,39452
1125,1885,158,67560
-1315,934,866,419322
1885,-364,996,14892
1505,174,999,103127
1885,554,580,327232
839,1695,430,471160
-2076,1505,481,43707
-554,-1885,365,205237
1181,-1125,381,120119
2076,-1695,797,320298
-554,-1315,961,660034
1826,2076,502,178594
1885,-364,997,10932
1885,1125,343,322167
1315,744,375,143039
1505,-1885,135,88419
744,744,336,167646
-1505,-1074,892,208640
174,-2076,954,461483
-1315,-1695,652,194845
1125,-1695,885,430172
-2075,-934,139,109881
744,-1315,429,261537
-1885,-1695,156,61674
174,-744,987,234687
1315,1885,999,59020
2076,-554,941,215046
-1315,-744,833,97588
1885,-364,977,16523
1885,-364,980,12795
174,-1505,232,123607
364,-1505,119,45730
2076,-1695,95,119971
-554,-1125,342,165434
1885,-364,623,19324
1885,-364,976,15591
1885,-364,995,11398
1885,-364,992,15358
1885,-364,984,21415
1885,-364,994,10466
1885,-364,716,11606
1885,-364,990,12330
1885,-364,842,12047
1885,-364,835,18775
1885,-364,975,10466
1885,-364,996,16756
1885,-364,975,12562
1885,-364,990,11398
1885,-364,987,15125
1885,-364,988,14659
1885,-364,995,13261
1885,-364,992,15824
1885,-364,979,16523
1885,-364,980,13494
1885,-364,983,12330
1885,-364,985,14659
1885,-364,998,22346
1885,-364,990,17687
1885,-364,991,15358
1885,-364,997,12097
1885,-364,986,20716
1885,-364,994,11631
-1224,-1125,243,629037
934,-934,989,50271
1885,-364,998,11398
1378,-1125,941,375097
-1315,1695,873,246762
-744,554,78,139368
174,-744,982,102629
554,457,517,349936
934,-934,999,282413
-744,441,292,270683
174,174,156,377591
1885,-364,998,10932
934,-174,999,170554
554,-2076,997,384835
2076,-1315,993,146064
-744,2076,147,244570
1695,-2076,982,71314
-174,1315,349,382158
-1505,-2076,895,60449
-1067,-934,934,420549
1125,-1885,980,40519
-1695,934,678,68518
1885,-364,993,15591
-744,1505,563,372871
174,842,771,87955
-1885,-1695,459,214242
364,-1315,987,451945
1125,-2076,991,39018
1695,1695,275,202668
1885,-364,980,11398
-1125,-174,65,226759
-174,-1125,990,43049
-744,1795,110,256516
-2076,174,351,213844
-1125,-1885,411,464159
2076,-364,978,125020
1885,1125,591,138896
1885,-364,985,14659
1885,-364,999,12795
1885,-364,981,13727
-934,-934,502,181005
1885,-364,993,12562
1885,-364,977,10699
1885,-364,982,10932
2075,1885,588,223059
1125,-1885,987,222412
-1103,442,711,386729
364,554,258,40457
-2075,-174,82,148831
1885,-364,990,10699
1125,-744,985,35116
-430,1125,245,661744
2075,934,448,279171
174,-1885,980,366005
1695,2076,993,53996
-1505,-1885,987,106716
-1695,744,696,381556
2075,1885,183,286568
-364,-1034,402,258578
-174,-1695,554,194228
-174,1885,478,258274
-364,-1695,272,208517
-364,-1125,931,275000
-807,364,418,434571
1505,-934,982,187181
-364,-1368,928,460779
934,1965,135,169504
744,364,206,181439
744,-1725,883,237525
-1315,1315,967,659933
744,-934,983,661463
2075,1885,425,187794
-934,-554,611,299891
-934,-934,704,395996
554,-1505,982,52880
174,-2076,995,136455
174,2076,508,138242
1505,744,989,67244
364,-934,989,57834
2076,-1505,991,1055912
1885,-364,989,16523
174,-934,993,61991
-554,-312,971,407024
364,-2076,998,47634
1505,174,983,42788
1505,174,985,43777
1505,174,988,42788
-744,-1505,273,201625
-934,2076,273,188359
1125,-554,990,518896
-2076,934,806,109048
1885,-364,994,10466
-364,-554,300,661626
1315,1885,533,81641
1125,-502,960,655892
-174,554,980,275903
1885,-364,983,12795
1505,174,982,47734
1885,-364,986,14659
-934,1125,308,222962
1885,-364,994,13960
1885,-364,979,15824
1885,-364,985,14659
1885,-364,977,10466
1885,-364,998,14659
1885,-364,996,12097
1885,-364,978,12795
1885,-364,980,11165
1695,-1505,987,184390
1885,-364,989,10932
1885,-364,996,11398
1885,-364,975,12097
1885,-364,997,12562
1885,-364,982,13727
1885,-364,978,14659
1885,1315,760,152239
1885,-364,988,10699
1885,-364,993,11398
1885,-364,975,11864
174,-1125,993,36167
1885,-364,985,11398
1885,-364,987,14193
1885,-364,992,12562
1885,-364,989,14892
1885,-364,983,14426
-1125,1505,235,656038
-174,-364,215,144697
-2075,-744,950,150120
1885,-364,984,18153
744,364,172,138717
1885,-364,995,16290
1885,-364,988,22346
1885,-364,987,18386
1885,-364,989,20949
-934,-2076,251,150416
1885,-364,975,23744
-174,174,148,264755
1885,-364,981,15358
1885,-364,976,11864
934,-1695,977,178664
1885,-364,981,26074
1885,-364,979,13028
1885,-364,998,12097
1885,-364,975,11864
1885,-364,989,13028
1885,-364,976,12330
1695,-364,980,318375
-1360,-554,670,438508
1885,-364,976,14659
-1403,-1929,905,412932
-1285,-1125,525,668194
1885,-364,976,15824
1505,744,647,353558
-2075,-364,106,162044
1315,-1505,984,189012
1885,-364,984,16290
1885,-364,975,13261
1885,-364,984,11631
-934,364,978,192531
554,-744,998,142601
2075,1695,875,131436
1885,-364,991,17920
-174,-554,983,59766
-174,-174,992,47884
-1885,744,252,257738
174,554,793,185861
-1885,1315,772,175129
-1885,2076,827,128719
-1505,1505,698,191044
-364,-1505,299,200019
-934,1885,938,212417
-2075,-174,134,169237
-2075,-1125,402,139931
1885,-364,988,12097
-256,-554,866,477931
1885,-364,996,18386
1885,-364,975,11165
-554,-174,823,72130
1885,-364,977,10466
1885,-364,993,21647
-744,1505,465,227193
-2076,1125,370,171936
1505,-174,986,291198
-554,364,67,110385
-1505,-744,947,228190
-174,-2076,665,414160
1315,744,546,124967
1885,-364,990,16989
-554,554,915,213962
-2076,620,884,481637
744,-1315,997,279507
-364,-1125,982,168670
2076,-934,984,299442
1695,554,803,107742
1885,-364,976,13727
1695,-1505,977,39821
1885,-364,988,10466
-2075,-1125,179,49070
-554,-744,226,159880
-1315,-174,61,226478
1885,-364,989,11398
-1125,-174,992,74025
-744,174,986,137688
-1125,364,891,439945
-2076,1505,196,37952
-174,-1505,991,37836
2076,-744,994,239438
-1505,-1695,147,242868
1885,-364,985,13960
-744,364,269,114275
-554,-364,603,94452
1885,-364,998,12330
1885,-364,979,16290
1885,-934,663,450405
1885,-364,993,13261
1125,-1315,980,427279
934,1505,531,169247
881,-1315,980,188412
-744,-1695,857,76468
1885,-364,986,20949
1885,-364,981,10699
1885,-364,996,12795
1505,-364,981,227401
-1505,174,748,168431
744,-2036,984,436725
-554,-1315,960,32608
-2075,-934,780,207576
1695,-2076,994,198210
-1695,-554,949,202522
-174,1695,98,52175
554,174,88,42760
-1505,-554,150,58873
554,-1885,994,496447
744,744,923,41727
554,1315,958,185751
1885,-364,980,11864
1485,-1315,995,460318
2075,698,834,236459
-1315,-1505,443,661086
1885,-364,976,11165
1695,-364,996,222417
-2076,2076,143,327417
-1125,364,760,60356
1695,-1125,991,362536
554,364,170,159597
-934,-934,284,624630
-554,-1505,752,661347
1315,-174,984,198383
-744,174,896,215170
1885,934,990,75455
1125,1315,982,69122
1695,364,94,53853
364,-2076,984,656815
2075,934,360,56801
1505,174,749,38185
934,1826,223,701950
-1763,364,98,508982
-364,-174,390,263804
174,174,996,192323
-1315,1505,371,371033
1885,2076,715,119174
-1315,934,419,37889
-934,174,847,82062
-174,2076,841,283775
-1443,-2076,642,289580
-554,-174,490,82844
174,-934,996,128891
2076,-670,968,349305
-174,687,865,659846
1125,1505,494,662986
174,1505,980,104611
-1695,-174,987,187116
-2076,174,61,231748
-744,1885,112,68667
-1315,2076,753,123364
-1885,1505,802,158331
2054,-1125,930,439212
2013,934,495,233771
-1885,1229,686,191053
2075,1695,351,272456
1804,-211,958,528248
-364,364,137,340691
-554,-1505,937,263668
-1125,-554,99,64582
1125,-174,995,380604
1315,1885,153,674759
744,2076,174,643465
-744,-1885,765,118750
364,1505,828,181736
-744,1885,564,208251
-744,1695,112,170835
1125,1125,836,264246
364,1885,136,141316
-1125,-2076,993,241382
2075,1315,278,612084
364,788,781,439072
-364,744,976,127502
-1695,-174,534,178010
-2075,-934,547,149787
-1695,-2076,873,141977
-1315,744,83,139268
656,1617,978,293301
-174,1505,80,118714
-1315,-1695,852,223410
-174,174,187,192046
1885,364,161,77052
-934,2076,925,228985
1885,934,998,38547
-1125,174,249,202594
-1315,-554,388,273483
-1586,1315,153,671056
364,-1505,985,248030
1315,364,728,85292
-364,-461,902,79077
-1695,364,850,96541
-1125,2076,769,70326
-174,-1125,534,631190
1505,1054,876,467344
-554,-1505,975,39880
174,-1315,996,295855
1695,1885,640,142773
364,554,427,247532
-1051,174,887,175343
174,-1315,984,279475
-1885,-1695,418,339031
1885,-364,995,10699
1885,-364,991,12330
1885,-364,992,24210
1885,-364,996,12330
1885,-364,976,12795
1885,-364,979,10699
-2075,-1315,253,58231
1885,-364,976,13494
1885,554,969,210745
1885,-364,990,12097
1885,-364,997,14193
-952,174,457,681108
1885,-364,986,10932
1885,-364,995,10466
1885,-364,978,10466
1885,-364,980,12330
1885,-364,990,17920
1885,-364,978,11165
1505,1885,785,215419
-1695,-1885,335,370080
-364,-174,354,140344
-1268,-1032,673,638365
1885,364,78,174788
1885,-364,987,10932
554,1637,662,197345
1885,-364,997,11165
1885,-364,980,11398
1885,-364,998,18153
1695,-934,987,246964
1885,-364,993,11864
1885,-364,997,10699
1885,-364,981,11165
1885,174,94,42328
-1339,174,437,671420
-319,-1695,747,264497
1885,-364,977,26074
1885,-364,989,19551
1417,-1315,960,519449
1885,-364,976,26074
1885,-364,975,20250
1885,-364,991,18386
1885,-364,984,16057
1885,-364,999,23511
1885,-364,983,17221
1885,-364,994,16290
1885,-364,978,11398
1885,-364,990,12562
-934,1315,493,104257
1885,-364,976,10699
1505,-554,994,202734
-174,-934,666,409406
934,-934,996,74952
-934,-934,857,300550
1125,744,617,647523
2075,2076,132,99758
1505,174,841,123532
1505,174,978,91010
1505,174,988,44272
1505,174,986,75431
-174,1885,716,138616
1125,-934,995,95816
1315,-174,979,461447
1315,554,812,164274
1315,934,116,103614
934,744,775,249230
-2075,-744,742,280966
-554,241,106,276989
-364,-1125,277,127548
1885,-364,998,20483
-991,1764,877,292355
1695,174,436,194234
-174,-598,986,222831
1885,-364,998,11631
-744,1315,903,658908
1505,174,998,317528
-554,744,430,304056
364,-1505,978,57563
-1505,2076,939,134451
-1745,-174,491,239722
1885,-364,991,15824
1885,-364,998,10466
-857,2076,706,275929
-2076,1315,146,100432
744,174,429,463934
-2076,744,986,122278
934,-174,981,157721
1885,-364,992,144179
-2076,1695,789,161352
-364,-174,997,143223
1505,1505,135,280997
-2076,1885,543,660693
1885,-364,992,19551
1885,-364,997,13494
1885,-364,978,13261
1885,-364,993,21880
1885,-364,987,14426
-744,174,59,210618
1885,-364,988,12562
1885,-364,997,20250
1885,-364,995,12562
1695,-1505,980,293603
-1695,2076,597,663005
-1315,-934,558,236009
-174,744,815,84009
554,-744,982,611959
1885,-364,996,12562
1885,-364,983,13261
1885,-364,996,12562
1885,-2076,986,153936
1885,-364,986,13727
1885,-364,980,13727
1885,-364,980,10932
934,-174,996,156734
1885,-364,978,11398
1885,-364,976,11864
1885,-364,983,13028
1885,-364,994,11631
364,-364,976,593314
1885,-364,997,14892
-1505,-1885,668,37037
174,-1315,989,39556
554,174,329,204250
1885,-364,986,13727
1885,-364,995,14426
1885,-364,994,11631
1885,-364,976,14426
1885,-364,989,24443
1885,-364,981,14659
1885,-364,986,17920
1885,-364,992,13727
1885,-364,998,10466
1885,-364,985,13261
1885,-364,976,11165
1885,-364,994,15358
1885,-364,982,11165
1885,-364,975,16989
-1125,-174,114,177958
-1315,364,977,242676
-1695,-1885,605,309279
1885,-364,982,11398
1885,-364,990,14892
1885,-364,989,16057
1885,-364,980,22579
1885,-364,975,42147
1885,-364,982,17454
1885,-364,979,20716
1885,-364,995,14659
1885,-364,996,27937
1885,-364,994,23511
-1695,-1695,496,282920
1505,174,979,39079
1505,174,997,36606
744,1125,992,56403
1695,1505,712,149876
-1614,-364,906,422722
1885,-364,997,10699
1885,-364,975,10699
-1885,-2076,163,341367
1885,744,996,158673
1505,174,988,37101
-2076,934,990,322305
1885,-364,990,12795
1505,174,977,45508
1885,-364,993,12330
1885,-364,986,13727
744,-1695,983,168217
1885,-364,986,18386
1885,-364,993,14892
1885,-364,992,12562
1885,-364,982,14892
2075,2076,996,213517
554,1885,223,73267
-1505,648,112,476314
1505,-554,987,174943
-554,-1695,694,661798
-934,-1695,633,400123
174,364,428,608083
1885,-364,986,13261
-1885,934,96,170460
1885,-364,992,16523
1885,-364,999,15591
1885,-364,992,11165
1885,-364,980,18153
-364,1125,119,568985
1885,-364,985,17454
-554,1089,244,306503
744,744,440,90676
1885,-364,977,13960
1885,-364,982,19551
-1885,1885,319,325473
1885,-364,976,15591
-1695,1695,638,271264
-1125,1125,213,662160
1885,-364,981,13494
1695,1505,993,65716
1885,-364,997,28869
1885,-364,995,17687
1885,-364,975,23744
1885,-364,976,11165
1885,-364,986,12330
1125,744,729,176014
1315,554,988,123092
1505,174,977,112277
1885,-364,975,11398
1885,-364,979,12562
1885,-364,994,13261
-1315,1885,86,142888
1885,-364,983,15824
1885,-364,987,13028
1505,174,986,97192
1885,-364,989,16989
1885,-364,983,17454
1505,174,993,87053
1315,-1885,984,88964
1885,-364,987,20949
1885,-364,985,15358
1885,-364,977,17920
1885,-364,999,20250
1885,-364,989,10932
1885,-364,992,12562
1885,-1695,986,290973
1885,-364,984,10932
1885,-364,993,15358
1885,-364,993,15824
1885,-364,993,11864
1885,-364,989,14892
1885,-364,979,14193
1885,-364,998,17221
1885,-364,983,24210
1885,-364,995,16523
1885,-364,990,10699
1885,-364,988,10699
-364,-744,124,184755
554,-1695,975,215568
1885,-364,996,11864
1125,364,337,595191
1695,-174,986,177201
1885,-364,985,15358
1885,-364,996,11864
1885,-364,992,20250
-364,-1964,726,264160
1125,-1505,998,131007
1885,-364,984,11398
1885,-364,991,11398
1885,-364,978,15824
-1885,-174,355,106197
1885,-364,995,12097
1885,-364,975,28636
1885,-364,996,10699
1885,-364,983,16756
1885,-364,975,22346
1885,-364,987,13727
1885,-364,983,10699
1885,-364,977,19085
-2075,-1125,739,32370
1885,-364,984,13261
1885,-364,979,12097
1885,-364,977,10466
-1505,554,985,270662
1885,-364,983,24676
934,1315,169,141900
1885,-364,989,22812
1885,-364,976,16989
-1885,-1695,234,194278
1885,-364,997,18153
-1562,174,347,239087
1885,-364,994,24210
1885,-364,979,14426
1885,-364,980,25142
1885,-364,989,16523
1885,-364,980,24443
1885,-364,982,33062
1885,-364,993,37721
1885,-364,975,19318
1885,-364,977,18386
1885,-364,998,23744
1885,-364,976,13261
1885,-364,988,12795
1885,-364,989,13261
1885,-364,977,12330
1885,-364,984,17454
1505,174,419,61709
1695,554,468,656378
1505,174,372,40943
-744,-1885,851,342479
1885,-364,976,18386
1505,174,541,31381
1885,-364,988,17454
1885,-364,997,10932
1885,-364,982,18852
1885,-364,978,28636
1885,-364,993,27471
1885,-364,999,19085
1885,-364,983,28170
1885,-364,976,12330
1885,-364,988,15358
1885,-364,990,18852
1885,-364,980,23045
1885,-364,984,19318
1885,-364,998,13028
1885,-364,991,13028
174,2076,984,43016
-364,2076,978,224607
1885,-364,994,11631
1885,-364,998,10699
1885,-364,987,21880
1885,-364,997,22579
1885,-364,984,15358
1885,-364,976,26539
1885,-364,998,12562
1885,-364,983,16989
1885,-364,999,19318
1885,-364,980,19784
1695,-2076,998,159354
1885,-364,975,14892
1885,-364,986,16523
-1695,554,80,113826
1885,-364,982,15824
1885,-364,980,19085
1885,-364,978,15125
1885,-364,975,13960
1885,-364,984,17454
1885,-364,986,13960
1885,-364,982,23278
1885,-364,988,32596
1885,-364,998,24909
-1695,213,548,333896
1885,-364,987,21647
-1315,1808,898,202578
1885,-364,978,22113
1885,-364,993,17920
1885,-364,991,15358
1885,-364,980,15824
1885,-364,979,21647
1885,-364,994,34926
1885,-364,980,11631
1885,-364,997,22812
1885,-364,989,18619
1885,-364,995,36789
1885,-364,999,14193
1885,-364,980,15125
1885,744,762,344926
1885,-364,977,13494
-364,934,779,49092
1885,-364,988,16756
1885,-364,996,33295
1885,-364,984,36789
1885,-364,982,32829
1885,-364,992,31664
1885,-364,984,21647
1885,-364,981,20017
1885,-364,993,16057
1885,-364,975,21880
1885,-364,984,17687
-934,-1315,872,608845
-934,2076,123,110079
1885,-364,979,12097
1885,-364,989,11165
-1385,421,753,135405
1885,-364,998,12097
1885,-364,998,18153
1885,-364,993,11631
1885,-364,977,15358
-2076,1695,875,651582
1885,-364,999,12097
1885,-364,998,30732
1885,-364,997,12330
1885,-364,989,13261
1885,-364,985,22346
1885,-364,986,18386
1885,-364,990,17454
1885,-364,975,14892
1885,-364,986,13028
1885,-364,994,13494
1885,-364,979,15591
1885,-364,995,15824
1885,-364,996,14892
1885,-364,979,13727
1885,-364,997,11165
1885,-364,992,19784
1885,-364,996,19551
1885,-364,998,16989
1885,-364,983,11864
1885,-364,998,11864
1885,-364,996,13960
1885,-364,975,17454
1885,-364,989,25375
1885,-364,996,29568
1885,-364,980,11864
1885,-364,998,16290
1885,-364,988,13727
1885,-364,985,13960
1885,-364,979,13261
1885,-364,992,18619
1505,2076,929,444366
1885,-364,975,13494
1885,-364,999,15824
1885,-364,998,11631
1885,-364,988,19784
1885,-364,978,20483
1885,-364,993,12330
-1695,1125,560,133897
1885,-364,994,17454
1885,-364,982,33295
1885,-364,995,24676
-554,-174,715,439696
1885,-364,988,20250
1885,-364,994,27471
1885,-364,996,23045
1885,-364,987,23278
1885,-364,976,11631
1885,-364,985,10699
1885,-364,983,21880
1885,-364,986,15824
1885,-364,994,11631
1885,-364,987,26772
-934,554,525,302863
554,744,562,663467
1695,1315,397,34824
-1315,1315,479,165673
1695,364,404,191927
-364,1505,103,103654
1353,1315,561,1184151
-296,-934,989,191989
-1885,1695,873,208343
1125,174,973,95967
-1695,-934,157,261896
-2075,-554,999,44811
-364,-554,148,370525
1125,655,856,190689
2076,-1315,982,136392
-1315,1125,877,232387
-1885,-2076,989,240398
1695,-1070,528,640724
-696,-878,585,659947
-934,-1125,653,377932
554,-2076,996,100559
-934,-934,568,430397
-1315,364,463,140526
1885,-364,995,16057
1885,-364,997,37255
1885,-364,995,13261
1885,-364,985,15358
1885,-364,984,13261
1885,-364,980,23744
1505,-1695,990,145087
1885,-364,977,14659
-1885,1885,595,113480
1885,-364,981,11398
713,-554,978,657556
1885,-364,989,13028
1885,-364,984,16989
1885,-364,978,10932
1315,-554,976,93724
1695,1125,105,179067
1885,-364,995,12795
1597,-1359,800,629758
1885,-364,991,12330
1885,-364,986,33295
1885,-364,982,20949
1885,-364,976,10699
1885,-364,994,23511
1885,-364,982,11165
1885,-364,999,18153
1885,-364,986,13727
-2076,1125,784,131297
1885,-364,978,14892
1505,1191,652,662349
1885,-364,996,13960
2076,-744,985,59364
554,554,760,95157
1793,2076,604,159579
744,1125,343,39830
-1505,-1315,209,35054
364,744,101,296441
-1505,-1885,782,564248
1885,-364,995,13261
1885,-364,977,13261
-1885,-934,672,158051
1885,934,509,166862
1124,282,589,360312
1885,-364,991,12097
1885,-364,999,10932
174,-1505,981,34608
-174,1885,111,238983
1125,-744,982,106544
-744,-554,277,272595
-1695,364,644,314471
1695,2076,471,658375
364,744,727,76248
1390,-2076,987,658389
2075,174,990,351130
-1315,1505,897,148130
1885,-364,984,17687
1885,-364,977,10699
1885,-364,983,10932
1885,-364,996,11165
1885,-364,996,10699
1885,-554,977,50198
364,-934,998,78118
1885,-364,980,18852
1885,-364,997,12562
1505,1885,135,75889
-1505,554,93,69320
1885,-364,978,12795
1885,-364,975,23977
1885,-364,975,23744
1885,-364,992,23045
1885,-364,986,25142
1885,-364,998,22346
1885,-364,991,16756
1885,-364,999,27238
1885,-364,981,19784
1885,-364,978,25375
1885,-364,988,15591
1885,-364,999,27937
1885,-364,990,22812
1885,-364,988,12795
-1695,1885,379,433329
1885,-364,991,13727
1885,-364,978,29102
1885,-364,981,13028
1885,-364,998,10466
1885,-364,983,19551
1885,-364,980,11864
1885,-364,991,13494
-364,-554,318,606175
1885,-364,985,21415
1885,-364,981,11631
1885,-364,980,11631
1885,1505,683,184647
1885,-364,984,11864
-1125,-174,976,458674
1885,-364,979,10466
1695,-364,985,457255
2075,934,978,89417
1315,1885,791,376462
174,-174,982,278499
1885,-364,996,20716
1885,-364,991,11165
174,-1695,990,107194
1885,-364,979,13494
-1695,2076,331,446563
1505,174,605,35273
1885,-364,984,10932
1505,174,969,57577
1885,-364,975,16057
1885,-364,987,17920
1885,-364,996,13960
-1315,-1315,449,662438
554,-744,977,200433
1505,174,979,39326
-554,364,306,275509
-1315,554,878,187532
1885,-364,989,20483
1885,-364,984,16523
1885,-364,976,16989
1315,1695,907,323985
1885,-364,993,14426
1885,-364,975,10466
1505,-174,975,470013
1885,-364,980,11864
744,-1885,578,71412
1885,-364,996,12795
1885,-364,981,13028
1885,-364,978,12097
1885,-364,986,10466
1505,-1125,983,226510
1885,-364,978,11165
1885,-364,979,12795
1505,174,926,396133
1885,-364,997,10932
1885,-364,993,24443
1885,-364,989,18619
554,1885,262,56766
1885,-364,995,18386
-174,1601,224,404938
1885,-364,977,13960
1885,-364,982,15591
1885,-364,975,15591
1695,-1505,991,446647
-1125,554,856,177081
1885,-364,976,12562
1885,-364,990,18619
1885,-364,989,14193
-2076,2076,449,66922
1885,-364,995,11165
1885,-364,976,14193
1885,-364,976,15358
-554,-1505,401,185773
-2075,-1505,240,236883
-2076,364,122,358637
2076,-1315,979,166618
2076,-364,976,47378
1885,-364,984,13494
1885,-364,984,13028
-554,2076,812,116012
1885,-364,997,12562
-744,-1885,129,167381
-1125,744,869,161664
1885,-364,997,15824
1885,-364,998,21880
-554,-174,827,43582
1885,-364,995,22812
1885,-364,986,11631
1885,-364,991,11165
1885,-364,994,27238
1885,-364,977,23977
1885,-364,997,31897
1885,-364,978,19318
1885,-364,991,14426
1885,-364,988,16523
1885,-364,981,26074
1885,-364,996,26539
1885,-364,982,13494
1885,-364,983,17920
1885,-364,988,27471
1885,-364,991,23511
1885,-364,997,31431
1885,-364,984,19784
1885,-364,978,16290
1885,-364,992,25142
1885,-364,986,22579
1885,-364,980,18852
1885,-364,980,15591
1885,-364,990,19784
174,364,329,329883
1885,-364,981,23511
1695,-174,993,473927
1203,174,920,437522
1885,-364,977,12330
-1125,-712,956,663028
1885,-364,984,15125
-554,174,977,679793
-1695,-1505,930,662098
1885,-364,981,16989
1885,-364,994,35391
1505,174,996,33391
-1885,-996,842,195460
1885,-364,995,17687
-554,-364,996,205733
1885,-364,975,16756
1885,-364,989,12795
-1125,1695,770,78557
1885,-364,986,22346
1885,-364,977,19318
2037,934,768,409488
-1125,2076,144,101782
934,-934,987,161211
1125,1505,286,130120
-1885,-1505,419,179899
1885,-364,998,17687
744,934,582,170151
-1125,507,429,284726
1885,-364,978,15824
1695,-1125,979,34862
1885,-364,987,13727
1885,-364,980,18153
1885,-364,982,16057
1505,-1396,990,169346
700,934,437,666161
1695,-1695,990,369248
1885,-364,990,20716
1885,-364,980,27005
1885,-364,982,30267
1885,-364,976,23977
1885,-364,985,24443
1885,-364,999,19318
1885,-364,997,10699
1885,-364,993,11165
-496,-744,163,421116
1885,-364,975,23511
1885,-364,993,10932
1885,-364,984,16057
1885,-364,999,18153
1885,-364,986,12562
1885,-364,984,20250
1885,-364,998,16057
1885,-364,976,10466
1885,-364,986,28403
1885,-364,977,18619
-1505,174,68,118652
1885,-364,986,32596
1505,-364,999,269917
1885,-364,985,25608
-2075,-174,788,113007
1885,-364,979,20716
1885,-364,986,22346
1885,-364,983,24676
1885,-364,996,16756
1885,-364,975,13727
1885,-364,994,16989
1885,-364,978,13960
1885,-364,996,23511
1885,-364,994,19784
1885,-364,985,16756
1695,1885,220,376657
174,-744,975,85197
1885,-364,992,16057
744,744,904,36741
1885,-364,988,11398
1885,-364,998,16290
1125,-174,986,119958
-744,1505,776,114816
-364,174,123,237804
1695,1885,461,164039
554,-1125,995,42610
2075,1032,784,396587
-934,1885,471,188157
1885,-364,995,11864
-174,934,519,409427
1695,1505,990,123193
1885,-364,988,11398
1885,-364,977,10466
1885,-364,990,18153
1885,-364,988,16756
1885,-364,987,13494
1885,-364,989,11631
1885,-364,982,13261
1885,-364,992,13261
1125,-1885,977,659643
1885,-364,977,10466
1885,-364,998,12795
1885,-364,991,14659
1885,-364,993,17221
1315,-2076,995,189542
1885,-364,984,11165
1885,-364,999,15358
1885,-364,981,20483
1885,-364,979,11864
1885,-364,984,19085
-1315,-1125,809,77684
1885,-364,989,13727
1885,-364,976,25841
1885,-364,993,18619
1885,-364,987,20949
1885,-364,997,19085
1885,-364,995,13261
1885,-364,990,13960
554,364,135,380385
1885,-364,992,23278
1885,-364,977,16989
1885,-364,989,12795
1885,-364,994,15824
-1885,-174,902,121516
1315,-174,985,75041
-2076,364,698,208900
1885,-364,984,12097
1885,-364,988,12330
1885,-364,986,23278
1885,-364,992,26539
1885,-364,997,21182
1885,-364,991,19085
1885,-364,977,30500
1885,-364,983,14426
1885,-364,999,11864
1885,-364,998,11398
-744,-1315,239,57142
1885,-364,984,19784
1885,-364,997,11864
1885,-364,977,10466
1885,-364,996,12562
1885,-364,990,16290
1885,-364,989,27238
1885,-364,992,11631
1885,-364,979,20017
1885,-364,980,18852
1885,-364,983,23977
1885,-364,977,20716
1885,-364,986,12795
1885,-364,982,24676
1885,-364,979,10466
1885,-364,981,16290
1885,-364,998,13261
1885,-364,990,21182
1885,-364,985,39119
1885,-364,995,35624
1885,-364,987,33761
-2075,-554,504,182644
1885,-364,994,29102
1885,-364,996,20716
1885,-364,985,10466
1885,-364,999,16523
1885,-364,995,21647
1885,-364,983,24909
1885,-364,991,18153
1885,-364,991,17454
1885,-364,988,19551
1885,-364,983,11398
1885,-364,976,22346
1885,-364,985,17221
1885,-364,992,18153
1885,-364,985,20716
1885,-364,986,14426
554,-2076,991,192961
1125,-174,989,66896
1885,-364,981,15591
1885,-364,984,12330
1885,-364,981,19784
1885,-364,988,13727
1885,-364,975,15591
2076,-364,982,163719
1885,-364,980,21880
1885,-364,992,23977
1885,-364,979,18386
1885,-364,988,10932
1885,-364,996,12562
1885,-364,998,18852
1885,-364,984,13960
1885,-364,997,12097
1885,-364,980,10699
1885,-364,992,14193
1885,-364,979,18619
-174,-364,418,660802
1315,-744,991,206919
-1125,364,75,203287
-1125,-1505,196,41251
-1885,526,842,671969
1315,-174,994,109785
1604,-934,976,147008
174,-1695,993,215438
1885,1695,882,141504
744,2076,743,409832
-1505,-1505,183,157992
364,934,465,361510
-364,-1885,384,404417
744,-1315,976,248570
-554,934,233,211394
-1315,-1125,969,419347
-1315,-364,771,163783
2075,2076,785,135148
-174,1505,745,323049
744,554,770,183211
-1315,-2076,417,215740
1633,-1695,956,654664
-554,-1125,343,419060
-364,1315,540,178486
-1695,1885,405,43061
-1885,-364,788,247097
1315,934,215,231524
364,554,747,658450
-1125,-404,663,662120
-364,-1885,192,225706
-934,1695,91,152576
1885,-1315,989,437263
-1695,-475,206,313644
-2076,1695,78,47897
1505,174,997,30918
