X,Y,Z,Energy
1315,-1505,991,34540
1315,-174,982,218485
1885,2076,219,85606
-2076,1315,978,244533
-174,364,265,250058
-744,174,368,657847
1125,-1505,975,42367
1315,934,990,45136
1315,-364,982,155460
1315,-1885,993,298371
934,1125,352,313227
-174,1885,280,335934
934,-934,996,32922
-174,174,82,106083
-2076,1315,710,455459
-554,1252,513,336551
934,1885,510,277143
1505,-2076,987,38171
1315,744,662,203804
174,-1695,991,174786
-1315,364,931,223600
1695,-364,979,216743
174,-1315,986,32089
934,-2076,978,100485
1505,-1125,990,640503
554,869,443,158444
-2076,1125,998,165834
-934,1125,933,322279
-2076,554,758,88013
744,-1505,992,659207
934,-174,976,108363
1125,-174,994,612261
-2076,1315,135,134302
-1505,364,268,60505
606,-934,977,356453
-2076,1315,821,81170
554,744,776,78181
-1885,-554,990,21409
1315,1695,347,386092
1125,1315,831,84206
1885,1505,172,360353
1125,-1885,987,147745
-554,-1695,104,734929
554,1315,735,59897
1315,554,742,652037
-744,1885,110,226024
-364,1125,954,225119
934,1885,991,113042
1125,1695,765,114587
744,-1125,995,218323
2075,174,108,41835
-364,554,257,268692
2075,1195,188,669613
1125,1695,141,361200
-554,2076,640,231639
174,-934,985,207105
1315,174,352,272248
-934,1505,823,339709
174,-364,994,36495
-1695,364,773,404369
554,-1315,983,661972
-934,1695,880,177194
530,-364,609,655690
554,-174,984,184097
-554,2076,546,195018
2076,-1695,994,121978
-554,364,652,660965
-934,744,376,227430
1315,174,634,212783
-364,1505,962,152344
-1315,174,549,153169
-1695,554,280,33489
174,1695,977,148870
934,-934,982,181004
1315,554,993,87694
1505,1695,450,218275
-934,364,222,222302
2075,1695,800,305625
-1695,934,183,653283
-744,1756,789,115891
-174,554,597,222677
1885,-364,976,33528
-934,744,480,660105
-744,2076,146,322789
554,-1733,904,292717
-1315,364,303,170502
1094,-174,979,346871
984,2076,501,664713
1505,-174,976,98421
2076,-744,986,212572
934,1505,139,763245
-174,1125,457,383169
554,934,883,229281
-1695,2076,80,211772
2075,1695,347,519832
-554,174,294,165135
-174,554,113,437492
364,364,77,128379
-2076,1505,90,171829
1775,1505,154,431640
1885,-364,997,32363
-1505,2076,750,340844
-1505,1885,75,192281
1505,1695,126,54970
-1125,364,423,34966
2076,-554,986,175227
-1885,1695,920,143816
1801,-1885,936,619892
934,1125,342,192254
2075,1695,816,102237
934,744,212,113638
1505,174,781,45233
1315,-744,977,629117
1505,174,723,46257
-174,934,77,216892
1505,934,994,297560
-2076,1598,989,71017
-934,1505,350,41267
1505,174,468,41563
-1885,174,438,429314
-1695,1695,992,573317
1505,1885,139,126878
1505,174,94,48835
1505,174,92,52879
-1218,1315,359,669448
1505,174,515,41481
1505,174,96,50279
1505,174,800,48459
1505,174,82,50568
1505,174,366,42928
1505,174,274,43887
1505,174,994,52185
1125,-934,981,70460
-1695,174,822,181508
-934,174,981,198166
1279,-1315,972,656634
2076,-1695,984,643051
1505,174,882,49412
1505,364,246,261379
174,-1315,997,105076
478,1366,475,388313
554,174,285,135782
-1421,744,158,285892
-1505,1315,942,206089
-174,174,933,413035
-934,744,547,88088
-744,-364,994,16458
1695,1505,988,178957
1125,-1695,999,222637
-1505,744,428,82388
-2076,2076,143,216641
-2076,364,475,166605
1315,934,916,33253
364,-2076,985,207110
1695,-1108,939,657772
934,-554,989,172576
744,1885,653,658739
1580,1125,634,658793
1315,744,834,156571
1315,-364,990,292327
-1315,364,884,110462
1885,1885,904,397780
1885,-364,987,33528
1885,554,82,261905
934,-174,978,229291
1505,-1284,930,294816
1885,744,624,178204
1315,-364,993,262962
934,1125,535,135741
744,2076,978,94101
-1315,1125,95,66321
-934,1695,107,63683
174,1640,220,667843
744,-174,980,145325
-744,1125,529,289334
1125,-2076,986,657247
-1505,1885,278,657461
744,1125,978,88727
364,1125,451,100102
554,-2076,985,431402
1695,-554,980,185091
1695,-554,989,209053
1695,1695,858,73851
-1281,1315,801,206159
-174,174,824,397362
364,554,992,75716
-1315,2076,730,95545
364,-744,995,213900
2075,174,116,40078
174,-1885,989,476760
850,-1505,983,415769
934,1125,685,69318
-2076,1695,85,215351
934,-1885,987,92973
-744,2076,142,41716
1125,-1125,977,218515
-2076,1885,426,162258
1695,-1125,991,120547
1695,1885,146,152281
2076,-744,991,161019
-2076,1125,964,662450
744,364,316,249842
-647,1505,207,344780
1125,-1695,998,662561
-2076,554,197,235138
1505,-174,991,123406
174,1695,284,152537
1125,-2040,979,262145
1505,321,933,199957
-1695,174,320,206587
1315,-2076,977,136053
1505,174,530,44862
1885,1729,715,664994
174,1885,467,266853
1885,-364,983,33062
364,744,584,277854
-1885,1885,82,63405
-2076,934,85,83732
1505,174,605,44090
1505,174,671,41852
554,-1885,987,112989
1505,174,206,44843
1505,174,985,45261
1505,174,987,42294
1505,174,889,43053
1505,174,377,42799
1505,174,437,44589
1505,174,660,41852
1885,-174,984,150685
1505,174,92,50279
1505,174,98,52590
-2059,1936,666,443218
-1505,1695,753,79669
-1885,364,172,239346
174,-934,989,190134
934,1695,987,130496
1695,-816,952,278019
744,-2022,848,221569
744,1348,713,496347
-934,1695,98,62918
-1505,174,490,385184
174,554,949,465558
-1315,1505,87,74528
2011,-1805,932,442624
1125,-554,989,189298
1695,2076,512,197783
1125,-744,996,33889
744,364,993,416862
1885,174,501,401734
934,2076,997,181693
-1765,1885,184,550094
1885,-364,990,34460
1885,-364,993,34693
-934,1315,403,223660
1885,-195,992,423607
554,364,270,177446
1315,-2076,987,410122
-1505,364,613,469435
174,1125,614,430062
1885,744,993,167782
-2076,934,84,194034
2076,-1695,983,367623
554,-1885,980,77340
744,-934,988,144743
554,174,851,308405
2076,-364,997,113508
-1885,2076,951,210613
1210,1505,981,110056
364,-744,977,118275
1885,-934,975,165511
934,2076,998,140433
-1505,1505,995,191817
554,554,137,111023
-1315,364,818,263688
1885,-1391,933,205214
1885,174,753,291660
174,-1315,990,239488
1695,-2076,989,60248
-744,744,546,659912
174,891,751,199708
-1125,2076,503,483163
-364,1125,527,237649
554,-744,995,33638
2075,1315,942,387242
2075,1885,176,55673
1542,-1315,979,291150
-2076,2076,243,240267
1053,2076,745,216927
1125,1505,139,234072
-1695,1505,935,227481
2075,174,240,646706
554,-554,982,39445
2076,618,903,179126
-1695,554,86,192670
1125,934,888,661864
1505,-1695,994,312367
-2076,1505,793,199333
2076,-2076,987,209231
554,-2076,995,631322
1695,-2076,997,349452
744,1125,293,672079
-1505,623,501,293125
-934,364,322,174606
1885,-364,987,103878
1505,1125,678,190001
1885,-554,976,166755
879,174,279,213295
364,-934,985,46104
1885,-934,990,131483
1315,-1125,975,191785
-1695,1315,382,356615
-2076,554,102,248363
-174,1505,826,450828
2075,554,852,89927
2075,1505,988,252922
-934,1885,600,200896
-364,1125,922,129317
-1796,174,979,80293
1315,-744,990,84518
-744,1315,545,662292
-744,934,564,239598
-554,1695,998,118891
-174,1315,81,203327
364,-364,84,237383
364,174,192,272037
174,-857,987,242071
1505,1695,644,204566
1125,1695,184,40695
-174,1125,983,322519
1505,-1505,448,194690
1315,-1695,482,182120
-364,2076,574,189866
1695,1695,921,220779
364,1378,986,114391
364,-1125,293,35754
-1505,1125,492,37273
1885,-744,848,458984
2076,-744,300,75102
1315,1695,786,377551
-554,744,96,137726
-174,934,553,40209
1981,-1315,183,380469
1315,1979,429,670659
-934,1125,596,210511
1125,-1505,137,66283
744,1505,148,42032
744,1315,709,104528
744,-1125,262,168798
-554,1885,427,177697
-1505,2076,841,90506
934,174,634,662475
1695,-1315,329,41679
364,-1315,175,196795
1695,-1885,310,668545
-934,744,337,210242
-1885,2076,914,256582
1125,364,356,664660
934,1315,980,121427
1885,-364,282,33734
-364,1695,489,225206
-1885,744,107,161673
2076,-1505,111,107883
1695,-364,648,154828
1125,-1125,246,665600
1885,-1125,790,238908
-364,2076,106,216470
1505,174,982,182260
-1885,1695,109,153110
1885,-174,207,41242
1315,-581,416,633705
1940,-174,323,278706
473,-364,137,663420
-1695,1125,738,184574
673,174,322,218500
554,174,675,96423
-1125,1885,732,334482
1695,-1695,143,652603
554,174,240,445010
174,174,848,276188
1885,-364,381,33192
744,1885,991,99067
1125,-2076,568,186626
